AppSize(Bytes),AppRestriction,AppType,SupportDeviceNum,DisplayedScreenshotNum,SupportLanguageNum
121319424,4+,Games,40,4,11
42897408,4+,Games,40,5,18
42697029,9+,Games,43,5,1
84379648,4+,Games,38,5,1
85693440,4+,Games,37,1,5
58532864,9+,Games,24,5,1
104357888,4+,Games,43,5,6
143462400,4+,Games,43,5,1
241110016,4+,Games,37,5,1
66056192,12+,Games,40,5,1
186905600,4+,Games,38,5,4
3903508.48,4+,Games,37,1,2
468103168,12+,Games,40,5,1
45957120,4+,Games,43,5,1
143887360,4+,Games,37,5,1
157572096,4+,Games,37,4,5
169675776,12+,Games,37,4,1
104091648,4+,Games,37,5,34
64777216,4+,Games,40,5,1
184348672,4+,Games,40,5,1
40747008,4+,Games,37,5,22
882049024,9+,Games,26,5,4
86079488,12+,Games,38,5,18
58599424,4+,Games,40,5,1
58479616,4+,Games,24,5,11
134242304,9+,Games,40,5,9
210625536,9+,Games,40,5,10
176737280,4+,Games,37,5,1
161200128,4+,Games,37,0,1
461555595,12+,Games,43,0,1
656429019,9+,Games,26,5,1
258815519,4+,Games,43,5,1
37879808,17+,Games,43,5,1
58882048,4+,Games,40,5,7
489748292,9+,Games,43,5,1
171300864,4+,Games,24,5,1
161255424,4+,Games,40,5,1
145968128,4+,Games,38,5,13
23957504,9+,Games,43,5,1
113641472,4+,Games,38,5,18
1196212224,12+,Games,38,0,2
76383232,4+,Games,38,5,1
43375753,4+,Games,43,0,1
119231488,4+,Games,38,5,9
120187904,4+,Games,38,5,9
599319461,4+,Games,43,5,1
54148397,4+,Games,43,4,3
1428322304,17+,Games,40,4,1
156038144,9+,Games,38,5,1
74442752,12+,Games,43,5,1
42811392,4+,Games,24,5,16
1861763441,12+,Games,43,5,1
104166400,4+,Games,40,5,17
21049015,4+,Games,26,5,1
78962688,4+,Games,43,5,1
96497664,4+,Games,38,5,30
151254016,4+,Games,24,5,5
401727488,4+,Games,39,4,9
61468672,12+,Games,43,5,16
157290496,4+,Games,43,5,1
224559104,9+,Games,37,5,1
1222732800,4+,Games,37,5,7
58088448,12+,Games,37,5,1
171482112,4+,Games,38,5,34
111136768,12+,Games,40,2,1
146078720,9+,Games,40,2,1
240521216,4+,Games,37,5,7
68812800,12+,Games,37,5,7
76591104,12+,Games,43,4,1
829148559,12+,Games,39,4,12
130115584,4+,Games,40,5,1
1043664896,12+,Games,37,5,1
17691648,4+,Games,37,4,2
111604736,4+,Games,38,5,1
95603712,12+,Games,40,5,14
41779200,4+,Games,43,5,1
20669440,4+,Games,38,5,11
38629376,4+,Games,43,5,13
89068544,9+,Games,37,0,1
126416896,4+,Games,38,5,14
29258752,9+,Games,40,5,1
68317184,4+,Games,43,5,1
66832384,4+,Games,40,5,3
116476928,9+,Games,38,5,18
115895296,4+,Games,38,5,14
187506688,4+,Games,38,5,5
144196155,12+,Games,43,5,1
411227136,4+,Games,40,5,1
53772288,9+,Games,43,5,2
245444608,12+,Games,40,4,1
301228032,17+,Games,43,4,1
107032576,4+,Games,38,4,13
714801152,4+,Games,43,4,1
260106240,4+,Games,37,0,1
281676680,4+,Games,26,5,7
210245632,4+,Games,25,5,1
189151232,4+,Games,38,5,1
222380032,9+,Games,37,5,13
320535552,12+,Games,38,5,33
171828224,12+,Games,38,5,14
580818944,9+,Games,40,5,1
384385024,4+,Games,43,5,1
131464192,9+,Games,38,5,14
177562624,9+,Games,37,5,1
85463040,4+,Games,38,5,1
1281059840,12+,Games,43,4,1
78690304,9+,Games,38,5,8
108107776,12+,Games,38,5,1
33780714,4+,Games,43,5,1
47127849,9+,Games,43,5,1
1861763441,4+,Games,37,5,11
28681216,4+,Games,24,5,6
106917888,9+,Games,40,5,6
1433910272,4+,Games,37,5,11
34965504,4+,Games,37,5,1
19643392,12+,Games,38,5,13
86776832,4+,Games,38,5,10
1861763441,9+,Games,24,0,2
260040704,4+,Games,24,5,1
177914880,4+,Games,38,5,8
151453696,4+,Games,38,5,11
236914688,12+,Games,38,5,1
53692416,4+,Games,40,5,1
165738053,4+,Games,39,5,2
132160512,4+,Games,40,4,16
274991104,12+,Games,38,5,1
25939813,9+,Games,43,5,16
22982656,12+,Games,43,5,1
33219584,4+,Games,38,4,1
66697216,4+,Games,37,4,1
186856448,4+,Games,38,5,4
90521600,4+,Games,38,5,1
125091840,4+,Games,40,5,17
41161832,4+,Games,43,5,1
338273280,9+,Games,24,5,1
222846976,4+,Games,43,5,24
277301248,9+,Games,37,5,11
7053312,4+,Games,40,5,1
137798656,9+,Games,24,5,1
56385536,12+,Games,43,0,1
49803264,12+,Games,26,4,1
22364160,4+,Games,40,5,14
72376320,9+,Games,38,0,1
213773594,12+,Games,43,5,1
190382080,4+,Games,37,5,1
874184704,4+,Games,38,5,12
92250112,12+,Games,43,5,1
113565696,9+,Games,24,5,1
42757772,4+,Games,43,5,1
177338368,4+,Games,37,0,1
212249600,4+,Games,24,5,1
166305792,4+,Games,37,5,12
85362688,4+,Games,37,5,1
1861763441,17+,Games,39,5,13
224983040,17+,Games,37,5,9
797827072,12+,Games,39,5,1
255400960,4+,Games,40,5,5
349272064,12+,Games,40,5,7
123612160,4+,Games,38,5,12
321376256,12+,Games,38,5,1
137792512,9+,Games,40,0,1
46211072,4+,Games,37,5,11
113020928,9+,Games,40,0,15
137375744,4+,Games,43,5,2
108322816,9+,Games,37,5,1
17436862,9+,Games,43,5,1
217499648,9+,Games,24,5,15
93663232,9+,Games,43,5,1
41298944,4+,Games,38,5,2
104692736,4+,Games,43,5,10
25718784,4+,Games,40,4,16
35096576,4+,Games,40,0,11
1139261440,9+,Games,43,5,1
94110720,4+,Games,37,5,1
37110784,9+,Games,43,5,1
1861763441,17+,Games,38,5,13
228978688,12+,Games,40,4,1
158025728,9+,Games,38,5,1
38211584,9+,Games,43,4,1
205271040,12+,Games,43,5,15
936792064,12+,Games,40,5,5
171192320,9+,Games,38,5,8
205250560,17+,Games,43,5,15
69952512,12+,Games,40,5,6
1820131328,12+,Games,37,5,10
59441152,9+,Games,43,5,2
44660067,4+,Games,43,5,1
537749504,9+,Games,40,5,12
40968192,4+,Games,40,5,20
611252780,4+,Games,24,5,1
1861763441,4+,Games,39,5,1
42951284,12+,Games,43,5,2
1829599232,12+,Games,39,5,13
123449344,4+,Games,43,5,1
634097664,4+,Games,40,4,9
138681344,17+,Games,37,5,1
82499584,4+,Games,38,5,13
1161168896,17+,Games,43,3,8
72671232,4+,Games,38,5,13
1024388096,17+,Games,38,5,11
136165376,4+,Games,38,5,10
1522363392,12+,Games,37,5,1
70962176,4+,Games,38,5,19
85116928,4+,Games,37,5,1
51728384,4+,Games,43,5,1
186687488,4+,Games,37,5,7
875347968,12+,Games,38,5,8
185881600,17+,Games,38,5,12
185147392,9+,Games,40,5,1
96925696,4+,Games,38,5,1
233041920,4+,Games,39,5,22
56923703,4+,Games,43,5,1
343504896,12+,Games,37,5,1
221737984,12+,Games,40,5,1
373793792,4+,Games,38,5,1
229460992,4+,Games,40,3,1
141524992,4+,Games,37,5,5
83660800,9+,Games,43,5,2
121733120,12+,Games,39,5,7
65385472,12+,Games,40,5,3
28262400,4+,Games,43,4,16
92662784,4+,Games,37,5,1
68932608,4+,Games,43,1,1
256817152,12+,Games,40,5,5
24890368,4+,Games,37,4,18
308125696,4+,Games,43,5,3
278532096,9+,Games,24,5,14
89981952,9+,Games,40,2,1
123812864,4+,Games,38,5,11
131642368,12+,Games,37,5,1
87406592,9+,Games,40,2,1
218399744,9+,Games,40,5,10
130438144,4+,Games,37,5,1
147123200,9+,Games,38,5,16
361828352,9+,Games,43,5,8
70336512,4+,Games,43,5,1
98507776,9+,Games,37,5,6
34690172,17+,Games,43,0,1
292712448,9+,Games,40,0,1
438824960,9+,Games,24,5,1
1080938496,4+,Games,38,5,5
133768192,4+,Games,37,5,9
209825792,12+,Games,38,5,1
82397184,4+,Games,37,4,1
43646976,4+,Games,37,0,16
126216192,4+,Games,37,5,1
161118208,4+,Games,37,5,1
49524736,12+,Games,43,5,1
84934656,4+,Games,43,5,11
97505280,4+,Games,40,5,9
48369664,4+,Games,43,5,9
339898368,4+,Games,38,5,8
48181248,12+,Games,39,0,6
112133120,9+,Games,38,5,2
124666880,17+,Games,38,5,12
141391872,4+,Games,43,4,1
135512064,9+,Games,38,5,2
24502272,4+,Games,43,5,1
262421504,4+,Games,38,4,14
128262144,4+,Games,37,5,1
42917888,9+,Games,40,5,3
67177472,4+,Games,40,0,10
118273024,4+,Games,24,5,10
167030784,9+,Games,43,5,12
33418240,4+,Games,37,5,1
1861763441,12+,Games,40,5,18
1777940480,12+,Games,37,5,15
235831296,4+,Games,37,5,1
1861763441,12+,Games,40,5,5
53620736,4+,Games,43,5,30
502828032,4+,Games,38,4,8
103088128,12+,Games,40,5,1
112607232,4+,Games,43,5,8
149581824,9+,Games,43,4,7
112668672,4+,Games,38,5,6
243441664,4+,Games,38,5,1
55344128,9+,Games,43,5,1
90467328,12+,Games,37,5,2
187049984,9+,Games,37,5,1
107245568,9+,Games,40,5,1
130893824,9+,Games,38,0,11
1861763441,12+,Games,40,5,12
83931136,4+,Games,37,4,1
438601728,12+,Games,40,5,1
31798272,4+,Games,37,5,1
232590336,4+,Games,37,5,1
170172416,12+,Games,38,5,1
270895104,12+,Games,38,5,1
17430528,4+,Games,37,4,1
52387840,4+,Games,43,5,1
37103616,12+,Games,37,5,1
153100288,12+,Games,43,5,1
112562176,4+,Games,37,5,1
717484032,12+,Games,40,4,1
95661056,4+,Games,40,3,1
9931776,4+,Games,40,3,2
131477504,4+,Games,37,5,11
1654582272,17+,Games,37,5,5
1861763441,12+,Games,43,5,1
384600064,4+,Games,40,5,5
87994368,4+,Games,37,5,14
1861763441,4+,Games,40,5,1
74799104,12+,Games,37,0,18
113509376,12+,Games,37,5,1
346927104,9+,Games,40,5,1
130174976,4+,Games,38,5,1
175876096,4+,Games,38,5,14
695918592,9+,Games,36,5,1
842893312,12+,Games,40,5,1
1744486400,12+,Games,38,5,1
126036992,9+,Games,37,5,5
130421760,4+,Games,37,5,10
28557312,4+,Games,40,5,16
499580928,4+,Games,37,5,10
86220800,12+,Games,24,5,2
927440896,4+,Games,43,4,1
112141312,4+,Games,37,5,1
126050304,17+,Games,37,5,1
144809984,12+,Games,40,5,7
226834432,4+,Games,37,5,1
138738688,4+,Games,38,5,19
191706112,17+,Games,40,5,10
103740416,4+,Games,37,5,15
563081216,9+,Games,43,5,1
38466560,17+,Games,38,5,1
449130496,4+,Games,40,5,1
110870528,17+,Games,40,5,1
335650816,4+,Games,24,5,20
41937920,12+,Games,38,5,1
265484288,4+,Games,37,5,26
395522048,4+,Games,36,5,18
53260288,4+,Games,43,5,1
30641152,4+,Games,40,3,1
67786752,4+,Games,37,5,7
170844160,9+,Games,38,5,12
44654592,4+,Games,40,1,1
62558208,12+,Games,43,5,16
1790959616,17+,Games,39,5,5
1015242752,17+,Games,39,5,1
60375040,9+,Games,43,0,1
1271361536,17+,Games,37,5,15
170045440,4+,Games,43,5,1
135050240,12+,Games,37,5,13
182361088,12+,Games,38,5,1
190652416,9+,Games,24,5,1
255747072,4+,Games,38,5,13
55465984,4+,Games,43,5,1
40534016,12+,Games,40,0,1
146302976,4+,Games,38,5,13
64293888,4+,Games,40,5,16
56049664,4+,Games,43,2,1
253294592,12+,Games,37,5,11
935366656,9+,Games,38,5,10
802537472,9+,Games,40,5,13
59541504,4+,Games,40,5,1
25284608,4+,Games,43,5,1
78278656,9+,Games,38,3,1
341276672,12+,Games,38,5,11
181924864,4+,Games,38,5,12
1497927680,9+,Games,40,5,1
91312128,9+,Games,40,5,6
889060352,12+,Games,43,5,1
460077056,9+,Games,39,4,1
220386304,9+,Games,37,5,29
165612544,4+,Games,40,5,1
105250816,12+,Games,38,5,1
25294848,4+,Games,40,0,12
1182578688,9+,Games,38,5,32
3903508.48,9+,Games,37,3,2
153955328,9+,Games,38,5,4
250150912,17+,Games,40,5,1
167804928,12+,Games,38,5,1
363242496,4+,Games,37,5,4
906462208,12+,Games,38,5,15
93094912,4+,Games,38,5,9
240198656,4+,Games,38,5,8
851309568,12+,Games,38,5,1
79237120,12+,Games,38,5,13
199843840,9+,Games,39,5,10
958016512,12+,Games,37,5,14
910774272,9+,Games,39,5,1
141105152,4+,Games,40,5,10
73767936,4+,Games,40,5,6
56918016,4+,Games,38,5,2
124966912,4+,Games,38,5,9
467697664,12+,Games,38,5,1
62374912,4+,Games,37,4,14
1117057024,4+,Games,38,5,7
104550400,12+,Games,38,5,6
1861763441,12+,Games,37,1,1
164665344,12+,Games,38,5,1
66921472,4+,Games,37,4,1
262037504,4+,Games,40,5,1
98864128,4+,Games,38,5,7
30543872,4+,Games,40,5,1
272471040,4+,Games,37,5,9
312680448,9+,Games,40,5,11
775233536,12+,Games,38,5,13
613933056,12+,Games,40,5,11
224596992,4+,Games,40,5,14
82700288,4+,Games,38,5,6
179770368,12+,Games,37,5,34
71966720,4+,Games,39,4,1
144713728,12+,Games,40,5,1
109421568,12+,Games,38,5,12
69076992,4+,Games,37,4,1
71624704,4+,Games,38,5,10
151481344,4+,Games,25,5,1
1861763441,4+,Games,38,5,1
515005440,12+,Games,38,5,7
72974336,4+,Games,38,5,17
263766016,4+,Games,40,5,1
15577088,4+,Games,43,0,2
247033856,12+,Games,40,5,1
269298688,4+,Games,37,5,1
146573312,9+,Games,38,5,17
105143296,4+,Games,38,5,5
428865536,9+,Games,37,5,11
142579712,4+,Games,38,5,1
110595072,4+,Games,38,5,1
138510336,9+,Games,38,5,20
269532160,9+,Games,40,5,1
106808320,4+,Games,38,5,14
58384384,4+,Games,24,5,1
144881664,4+,Games,37,5,1
389505024,9+,Games,40,5,1
123780096,17+,Games,40,5,12
139014144,12+,Games,37,2,5
54100992,4+,Games,43,1,1
698171392,9+,Games,38,5,12
168042496,4+,Games,37,5,9
451338240,12+,Games,43,5,1
1861763441,12+,Games,38,5,1
51849216,4+,Games,37,5,26
54808576,17+,Games,43,5,16
936401920,4+,Games,40,5,1
80564224,9+,Games,39,4,1
103477248,9+,Games,37,5,11
247385088,4+,Games,37,5,26
85154816,4+,Games,37,5,19
1079500800,12+,Games,38,5,10
15258624,4+,Games,40,3,1
148408320,4+,Games,38,5,16
865561600,9+,Games,40,5,1
106971136,12+,Games,43,5,2
673243136,4+,Games,38,5,1
38051840,4+,Games,40,4,1
133456896,12+,Games,39,5,2
468258816,4+,Games,37,5,15
1098042368,9+,Games,40,5,10
320721920,4+,Games,37,5,10
344064000,17+,Games,40,5,15
122609664,4+,Games,38,5,1
16873472,4+,Games,40,5,10
26759168,12+,Games,38,1,1
1265238016,9+,Games,38,5,1
133218304,4+,Games,43,5,6
315658240,4+,Games,43,5,11
168226816,9+,Games,43,5,1
118883328,4+,Games,37,4,1
1219313664,12+,Games,36,5,5
189939712,4+,Games,38,5,4
180259840,4+,Games,37,5,1
1294111744,12+,Games,38,5,11
160192512,4+,Games,40,5,1
35201024,12+,Games,43,5,16
155365376,4+,Games,38,5,30
205014016,4+,Games,37,5,1
1861763441,17+,Games,37,5,7
47905792,17+,Games,40,4,16
581533696,4+,Games,37,5,11
131917824,12+,Games,37,5,12
908151808,9+,Games,38,4,1
185019392,12+,Games,38,5,1
174499840,4+,Games,38,4,1
32567296,4+,Games,38,5,1
80462848,4+,Games,38,5,1
766447616,4+,Games,38,5,1
61550592,9+,Games,43,4,1
60870656,4+,Games,40,5,3
395563008,9+,Games,37,5,9
314895360,4+,Games,40,5,13
169657344,9+,Games,38,5,5
714420224,9+,Games,38,5,6
221608960,4+,Games,40,5,1
93796352,4+,Games,40,5,1
1452716032,12+,Games,38,5,16
149073920,12+,Games,38,5,1
606646272,12+,Games,43,5,1
96088064,12+,Games,38,5,1
92385280,4+,Games,38,1,1
162003968,4+,Games,38,5,1
541367296,4+,Games,37,5,1
793368576,17+,Games,38,5,1
1676402688,12+,Games,37,4,1
482223104,4+,Games,37,5,10
136075264,4+,Games,40,5,3
72567808,4+,Games,38,2,1
91238400,4+,Games,37,5,1
237275136,4+,Games,38,5,8
116933632,4+,Games,37,5,1
59750400,12+,Games,38,5,3
1122046976,4+,Games,37,2,1
259990528,4+,Games,37,5,14
449393664,4+,Games,37,4,1
270014464,9+,Games,40,5,1
164665344,4+,Games,40,5,7
147554304,4+,Games,37,5,1
27975680,12+,Games,43,0,1
183009280,4+,Games,37,4,6
25448448,9+,Games,38,0,1
196248576,4+,Games,38,5,1
600535040,12+,Games,38,5,17
94363648,12+,Games,38,5,6
117937152,9+,Games,37,5,1
98627584,4+,Games,40,5,1
240103424,9+,Games,40,5,1
104359936,4+,Games,43,5,13
955272192,9+,Games,38,5,10
154361856,12+,Games,43,5,8
514434048,12+,Games,37,5,1
167555072,4+,Games,38,4,1
72339456,4+,Games,38,5,1
33681408,4+,Games,40,5,12
123222016,4+,Games,40,5,1
41732096,4+,Games,38,4,1
134600704,9+,Games,43,5,2
27910144,12+,Games,40,3,2
15790080,9+,Games,37,5,1
338566144,4+,Games,40,5,1
53638144,4+,Games,37,0,1
67262464,4+,Games,40,5,9
123356160,4+,Games,38,5,10
53654528,4+,Games,40,5,25
96093184,9+,Games,37,5,11
98557952,4+,Games,38,4,31
179816448,9+,Games,24,5,1
70488064,12+,Games,43,5,1
443423744,12+,Games,38,5,9
1361486848,12+,Games,38,5,1
68319232,9+,Games,38,5,1
836734976,4+,Games,38,4,33
113240064,4+,Games,37,5,1
6471680,4+,Games,38,4,1
131257344,17+,Games,38,4,19
180488192,4+,Games,38,5,10
16756736,4+,Games,40,5,31
169664512,4+,Games,37,5,31
37830656,4+,Games,39,4,2
149618688,9+,Games,40,5,1
56890368,4+,Games,38,5,4
15536128,4+,Games,40,5,7
510278656,9+,Games,37,5,1
103388160,12+,Games,38,5,10
161055744,4+,Games,38,5,1
170775552,4+,Games,37,5,12
187205632,9+,Games,37,5,11
22286336,4+,Games,38,4,13
23143424,4+,Games,37,5,1
50423808,4+,Games,37,5,1
40919040,9+,Games,43,5,1
228364288,9+,Games,38,5,1
49516544,4+,Games,43,5,1
241862656,4+,Games,40,5,6
25113600,4+,Games,37,3,1
105723904,4+,Games,38,5,15
108698624,4+,Games,24,5,1
21550080,4+,Games,40,5,1
179526656,9+,Games,39,1,16
38124544,12+,Games,38,5,15
660328448,9+,Games,37,5,16
454746112,9+,Games,38,5,6
133746688,4+,Games,40,5,1
147190784,4+,Games,37,5,1
47943680,9+,Games,43,5,1
1861763441,12+,Games,38,5,18
137838592,4+,Games,37,4,1
44426240,17+,Games,40,4,2
318714880,4+,Games,37,5,12
239976448,12+,Games,38,5,1
121039872,4+,Games,37,4,9
87665664,4+,Games,38,5,12
1009885184,12+,Games,38,5,6
1062202368,12+,Games,38,5,12
207059968,9+,Games,38,5,1
167641088,4+,Games,43,5,9
77043712,4+,Games,37,5,5
271392768,4+,Games,37,5,1
45298688,4+,Games,38,5,1
436621312,9+,Games,38,5,1
154898432,4+,Games,38,5,12
120459264,9+,Games,38,5,1
68837376,4+,Games,40,5,1
364130304,4+,Games,37,5,10
185914368,4+,Games,43,5,1
367181824,9+,Games,38,5,10
1861763441,12+,Games,35,5,1
263354368,4+,Games,40,5,10
310942720,12+,Games,38,4,7
6758400,4+,Games,40,0,1
72761344,4+,Games,40,4,1
672060416,4+,Games,37,5,12
398277632,4+,Games,37,5,1
160265216,4+,Games,24,5,12
232315904,4+,Games,24,5,12
536596480,4+,Games,24,5,12
191102976,4+,Games,43,5,8
96100352,12+,Games,43,5,1
446483456,4+,Games,37,5,10
285004800,4+,Games,38,5,1
116436992,9+,Games,37,5,12
